날짜,메뉴1,메뉴2,메뉴3,메뉴4,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.12.02,장떡만둣국,치킨텐더샐러드,떠먹는불가리스,,,9.1,0,76,9.18
24.12.03,나주곰탕,오징어문어핫바,허쉬휘낭시에,,,6.1,6.4,74,8.26
24.12.04,소고기우거지국,매콤돈갈비찜,유기농식혜,,,3.1,3.6,78,8.2
24.12.05,닭칼국수,메밀전병,아몬드브리즈,,,4.4,3.9,81,7.93
24.12.06,백짬뽕,소시지야채볶음,초록매실스파클링,,,3.5,4,84,8.22
24.12.09,수제비부대찌개,언양식불고기,사랑해사과씨,,,1.7,5,81,9.39
24.12.10,베이컨주먹밥,참치속깻잎튀김,모닝빵,커피우유,,1.9,0.9,77,8.48
24.12.11,꼬치어묵탕,김치두루치기,컵과일,,,2.7,5.1,76,9.03
24.12.12,설렁탕,고기완자버섯볶음,이온더핏제로,,,1.7,3.4,72,8.67
24.12.13,새우완탕면,로제찜닭,청포도코코푸딩,,,2.1,5.1,85,9.27
24.12.16,새알만둣국,서울식소불고기,허니유자,,,2.7,2.1,81,7.68
24.12.17,삼겹김치찌개,순살안동찜닭,바나나맛우유,,기말고사,2.2,3.9,88,8.69
24.12.18,닭다리야채죽,꼬마돈까스,밤만쥬,요구르트,,0.2,1,76,8.91
24.12.19,광화문불향짬뽕,목화솜탕수육,쁘디첼복숭아,,,-1.1,1.6,82,8.98
24.12.20,육개장칼국수,오징어&고추튀김,두유,,,0.7,6.1,77,10.28
24.12.23,어묵김치우동,스팸야채주먹밥,새우튀김,주스,,-0.2,3,80,10.45
