날짜,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.11.01,베이컨야채볶음밥,회오리고구마,초록매실스파클링,,,중간고사,14,42.6,84,8.18
24.11.04,스팸부대찌개,꼬마돈까스,허쉬초코우유,,,,13.5,3,83,7.63
24.11.05,새우완탕면,콘소메지파이,유기농ABC주스,,,,12.5,3,84,7.35
24.11.06,굴림만둣국,땡초돈육미니짜장,쥬시쿨,,,,10,0,78,7.79
24.11.07,양송이스프,떡갈비주먹밥,생선까스(칠리소스),사과쿠키,바나나,,8.6,3,84,9.25
24.11.08,전주식콩나물국밥,훈제오리볶음,떠먹는요구르트,,,,11.6,2.6,69,7.88
24.11.11,물떡꼬치어묵탕,돈육폭찹,크런키빼빼로,,,,12.9,0.4,77,7.48
24.11.12,닭다리곰탕,순대야채볶음,곤약젤리,,,,12.5,4,75,7.28
24.11.13,해물순두부찌개,서울식소불고기,유자민트티,,,,12,1.8,72,8.44
24.11.14,사골우거지탕,치즈닭갈비,덴마크드링킹딸기,,,,13.6,7.1,71,9.23
24.11.15,양지쌀국수,깐풍새우,후룻볼망고,,,,14.8,0.2,86,8.24
24.11.18,차돌된장찌개,임꺽정떡갈비,빅요구르트,,,,5.6,3,73,7.88
24.11.19,돈등뼈해장국,삼겹김치볶음,온두부,야채가득v19,,,6.1,2.5,74,9.86
24.11.20,일식카레덮밥,치킨가라아게,허쉬쿠키앤크림,,,,7.7,4.3,94,8.01
24.11.21,광화문불향짬뽕,투움바함박,꿀오란다바,,,,7.4,8,90,8.18
24.11.22,소고기콩나물밥,떡볶이&콘치즈만두,미니곱창김,귤,,,7.5,0,70,9.46
24.11.25,김치치즈낙지죽,동그랑땡볶음,크로와상,우유,,,6.9,0.7,80,8.45
24.11.26,유부주머니우동,닭다리,감자튀김,짜요짜요,,,5.5,26.2,78,7.93
24.11.27,참치김치찌개,삼겹숙주볶음,골드키위퓨레,,,,5.2,0,80,7.98
24.11.28,소고기샤브국,용가리치킨,샤인머스캣주스,,,,6.5,0.4,77,8.59
24.11.29,온메밀면,햄야채주먹밥,새우볼꼬치,사과요구르트,,,6.5,1.9,87,9.89
